filename,name,add_oakland,search_term,type,grades,Address,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Brookfield+Elementar--Oakland+Unified--0161259-6001663.csv,Brookfield Elementary, oakland,Brookfield Elementary oakland,public,K-5,"401 Jones Ave, Oakland, CA 94603, USA",37.735949,-122.188626,1,range_interpolation,401,Jones Ave,,,Oakland,CA,Alameda County,94603,US,TIGER/Line® dataset from the US Census Bureau
Burckhalter+Elementa--Oakland+Unified--0161259-6001689.csv,Burckhalter Elementary, oakland,Burckhalter Elementary oakland,public,K-5,"3994 Burckhalter Ave, Oakland, CA 94605, USA",37.775814,-122.166271,1,range_interpolation,3994,Burckhalter Ave,,,Oakland,CA,Alameda County,94605,US,TIGER/Line® dataset from the US Census Bureau
Carl+B%2E+Munck+Elemen--Oakland+Unified--0161259-6001697.csv,Carl B. Munck Elementary, oakland,Carl B. Munck Elementary oakland,public,K-5,"11900 Campus Dr, Oakland, CA 94619, USA",37.79522,-122.174062,1,rooftop,11900,Campus Dr,,,Oakland,CA,Alameda County,94619,US,Alameda
Castlemont+High--Oakland+Unified--0161259-0125161.csv,Castlemont High, oakland,Castlemont High oakland,public,12-Sep,"8601 MacArthur Blvd, Oakland, CA 94605, USA",37.758308,-122.163277,1,rooftop,8601,Macarthur Blvd,,,Oakland,CA,Alameda County,94605,US,Alameda
Castlemont+Primary+A--Oakland+Unified--0161259-0131672.csv,,,,,,"125 SE 3rd Ave, Hillsboro, OR 97123, USA",45.522132,-122.98646,1,rooftop,125,SE 3rd Ave,,,Hillsboro,OR,Washington County,97123,US,Washington
Chabot+Elementary--Oakland+Unified--0161259-6001648.csv,Chabot Elementary, oakland,Chabot Elementary oakland,public,K-5,"6686 Chabot Rd, Oakland, CA 94618, USA",37.850071,-122.242799,1,rooftop,6686,Chabot Rd,,,Oakland,CA,Alameda County,94618,US,Alameda
Civicorps+Corpsmembe--Oakland+Unified--0161259-0115386.csv,Civicorps Corpsmember Academy, oakland,Civicorps Corpsmember Academy oakland,charter,12-Sep,"101 Myrtle St, Oakland, CA 94607, USA",37.79949,-122.285775,1,rooftop,101,Myrtle St,,,Oakland,CA,Alameda County,94607,US,Alameda
Claremont+Middle--Oakland+Unified--0161259-6057004.csv,Claremont Middle, oakland,Claremont Middle oakland,public,8-Jun,"5750 College Ave, Oakland, CA 94618, USA",37.846041,-122.252022,1,range_interpolation,5750,College Ave,,,Oakland,CA,Alameda County,94618,US,TIGER/Line® dataset from the US Census Bureau
Cleveland+Elementary--Oakland+Unified--0161259-6001739.csv,Cleveland Elementary, oakland,Cleveland Elementary oakland,public,K-5,"745 Cleveland St, Oakland, CA 94606, USA",37.804272,-122.244063,1,range_interpolation,745,Cleveland St,,,Oakland,CA,Alameda County,94606,US,TIGER/Line® dataset from the US Census Bureau
Coliseum+College+Pre--Oakland+Unified--0161259-0112797.csv,Coliseum College Prep Academy, oakland,Coliseum College Prep Academy oakland,public,12-Jun,"1390 66th Ave, Oakland, CA 94621, USA",37.761869,-122.193566,1,range_interpolation,1390,66th Ave,,,Oakland,CA,Alameda County,94621,US,TIGER/Line® dataset from the US Census Bureau
Community+Day+High--Oakland+Unified--0161259-0106542.csv,Community Day High, oakland,Community Day High oakland,public,12-Sep,"4917 Mountain Blvd, Oakland, CA 94619, USA",37.787647,-122.177667,1,rooftop,4917,Mountain Blvd,,,Oakland,CA,Alameda County,94619,US,Alameda
Community+Day+Middle--Oakland+Unified--0161259-0106559.csv,Community Day Middle, oakland,Community Day Middle oakland,public,8-Jun,"4917 Mountain Blvd, Oakland, CA 94619, USA",37.787647,-122.177667,1,rooftop,4917,Mountain Blvd,,,Oakland,CA,Alameda County,94619,US,Alameda
Community+United+Ele--Oakland+Unified--0161259-0115204.csv,Community United Elementary, oakland,Community United Elementary oakland,public,K-5,"6701 International Blvd, Oakland, CA 94621, USA",37.760501,-122.193139,1,rooftop,6701,International Blvd,,,Oakland,CA,Alameda County,94621,US,Alameda
Conservatory+of+Voca--Oakland+Unified--0161259-0114454.csv,,,,,,"125 SE 3rd Ave, Hillsboro, OR 97123, USA",45.522132,-122.98646,1,rooftop,125,SE 3rd Ave,,,Hillsboro,OR,Washington County,97123,US,Washington
Conservatory+of+Voca--Oakland+Unified--0161259-0132555.csv,Conservatory of Vocal/Instrumental Arts High, oakland,Conservatory of Vocal/Instrumental Arts High oakland,charter,12-Sep,"12500 Campus Dr, Oakland, CA 94619, USA",37.789936,-122.167427,1,rooftop,12500,Campus Dr,,,Oakland,CA,Alameda County,94619,US,Alameda
Crocker+Highlands+El--Oakland+Unified--0161259-6001754.csv,Crocker Highlands Elementary, oakland,Crocker Highlands Elementary oakland,public,K-5,"525 Midcrest Rd, Oakland, CA 94610, USA",37.811103,-122.227587,1,rooftop,525,Midcrest Rd,,,Oakland,CA,Alameda County,94610,US,Alameda
Dewey+Academy--Oakland+Unified--0161259-0132688.csv,Dewey Academy, oakland,Dewey Academy oakland,public,12-Sep,"1111 2nd Ave, Oakland, CA 94606, USA",37.796761,-122.258296,1,range_interpolation,1111,2nd Ave,,,Oakland,CA,Alameda County,94606,US,TIGER/Line® dataset from the US Census Bureau
