Name,Cumulative Enrollment,Total Suspensions,Suspension Rate,Violent Incident w/ Injury,Violent Incident w/ no injury,Weapons Possession,Illicit Drug Related ,Defiance Only,Other Reasons,school_year
Community Day Middle,28,41,146.43%,5,27,2,4,0,3,2017-18
Community Day High,30,18,60.00%,2,9,0,3,0,4,2017-18
West Oakland Middle,221,119,53.85%,24,73,2,7,1,12,2017-18
MLK / Lafayette Elementary,187,61,32.62%,19,40,0,0,0,2,2017-18
McClymonds High,451,103,22.84%,46,52,3,1,0,1,2017-18
Aspire ERES Academy,239,53,22.18%,21,18,0,6,2,6,2017-18
Westlake Middle,415,89,21.45%,4,62,1,3,7,12,2017-18
Montera Middle,812,174,21.43%,77,49,6,3,26,13,2017-18
United for Success Academy,397,81,20.40%,10,50,1,14,1,5,2017-18
Lodestar: A Lighthouse Community Charter Public,369,72,19.51%,46,16,2,8,0,0,2017-18
ROOTS International Academy,350,66,18.86%,13,46,1,0,0,6,2017-18
Epic Charter,360,61,16.94%,2,43,3,6,5,2,2017-18
Frick Middle,277,42,15.16%,13,27,1,1,0,0,2017-18
Madison Park Academy 6-12,828,125,15.10%,47,40,7,23,4,4,2017-18
Fremont High,887,131,14.77%,41,64,3,12,0,11,2017-18
Horace Mann Elementary,419,61,14.56%,33,20,1,1,3,3,2017-18
Urban Promise Academy,395,56,14.18%,6,22,0,28,0,0,2017-18
Aspire Lionel Wilson College Preparatory Academy,538,74,13.75%,2,41,4,8,5,14,2017-18
Skyline High,"1,910",262,13.72%,78,106,11,39,0,28,2017-18
North Oakland Community Charter,245,33,13.47%,20,7,0,1,4,1,2017-18
Aspire Triumph Technology Academy,309,41,13.27%,0,39,1,0,0,1,2017-18
Think College Now,349,46,13.18%,28,18,0,0,0,0,2017-18
Oakland Charter Academy,239,31,12.97%,0,10,0,3,17,1,2017-18
Elmhurst Community Prep,423,51,12.06%,38,8,0,3,0,2,2017-18
ASCEND,499,59,11.82%,0,45,0,10,3,1,2017-18
Sankofa Academy,231,25,10.82%,13,6,0,5,0,1,2017-18
Aspire Golden State College Preparatory Academy,620,67,10.81%,2,46,1,10,6,2,2017-18
Alliance Academy,382,41,10.73%,13,23,0,3,0,2,2017-18
Parker Elementary,412,44,10.68%,39,4,0,0,0,1,2017-18
Castlemont High,"1,020",104,10.20%,43,47,2,6,0,6,2017-18
Community United Elementary,407,41,10.07%,10,27,0,1,3,0,2017-18
Aspire Berkley Maynard Academy,581,57,9.81%,10,25,4,0,13,5,2017-18
KIPP Bridge Academy,596,58,9.73%,15,39,0,0,4,0,2017-18
Oakland Unity High,351,33,9.40%,0,19,0,5,9,0,2017-18
Lighthouse Community Charter,535,49,9.16%,31,9,2,3,3,1,2017-18
Roses in Concrete,378,34,8.99%,1,31,0,0,0,2,2017-18
Bret Harte Middle,774,69,8.91%,31,25,5,5,0,3,2017-18
LPS Oakland R & D Campus,440,39,8.86%,1,23,0,4,11,0,2017-18
Brookfield Elementary,329,29,8.81%,6,21,1,0,0,1,2017-18
Oakland International High,455,39,8.57%,18,13,5,3,0,0,2017-18
Futures Elementary,350,29,8.29%,18,8,1,0,2,0,2017-18
Laurel Elementary,574,47,8.19%,42,2,1,1,0,1,2017-18
American Indian Public High,381,27,7.09%,3,11,0,1,9,3,2017-18
American Indian Public Charter,150,10,6.67%,2,7,0,0,1,0,2017-18
