Name,Cumulative Enrollment,Total Suspensions,Suspension Rate,Violent Incident w/ Injury,Violent Incident w/ no injury,Weapons Possession,Illicit Drug Related ,Defiance Only,Other Reasons,school_year
Hoover Elementary,325,21,6.46%,5,14,0,0,0,2,2017-18
Fred T. Korematsu Discovery Academy,375,24,6.40%,12,12,0,0,0,0,2017-18
Roosevelt Middle,569,36,6.33%,22,11,2,1,0,0,2017-18
Emerson Elementary,352,22,6.25%,9,10,0,0,1,2,2017-18
Edna Brewer Middle,816,47,5.76%,2,40,3,0,0,2,2017-18
Oakland High,"1,679",92,5.48%,46,35,2,3,1,5,2017-18
Aspire College Academy,294,16,5.44%,0,14,0,0,1,1,2017-18
Garfield Elementary,709,38,5.36%,3,35,0,0,0,0,2017-18
Preparatory Literary Academy of Cultural Excellence,215,11,5.12%,3,5,1,0,0,2,2017-18
Oakland SOL (School of Language) Dual Language Middle,61,3,4.92%,1,2,0,0,0,0,2017-18
Manzanita Community,494,24,4.86%,10,13,0,0,0,1,2017-18
Grass Valley Elementary,283,13,4.59%,6,7,0,0,0,0,2017-18
MetWest High,176,8,4.55%,2,5,0,1,0,0,2017-18
Manzanita SEED Elementary,453,20,4.42%,2,16,0,0,0,2,2017-18
ARISE High,296,13,4.39%,0,2,0,3,8,0,2017-18
"Martin Luther King, Jr. Elementary",320,14,4.38%,3,8,2,0,0,1,2017-18
Oakland Charter High,486,21,4.32%,1,8,0,2,8,2,2017-18
Claremont Middle,496,21,4.23%,12,7,0,1,0,1,2017-18
American Indian Public Charter II,678,28,4.13%,10,10,4,0,4,0,2017-18
Downtown Charter Academy,277,11,3.97%,0,4,0,0,6,1,2017-18
Reach Academy,491,19,3.87%,10,7,1,0,0,1,2017-18
Rise Community,277,10,3.61%,5,1,1,0,0,3,2017-18
Achieve Academy,708,24,3.39%,0,24,0,0,0,0,2017-18
Sequoia Elementary,444,15,3.38%,9,6,0,0,0,0,2017-18
Glenview Elementary,475,16,3.37%,8,7,0,0,1,0,2017-18
Coliseum College Prep Academy,488,15,3.07%,8,6,1,0,0,0,2017-18
Vincent Academy,297,9,3.03%,0,8,1,0,0,0,2017-18
LIFE Academy,487,14,2.87%,2,8,0,3,1,0,2017-18
"Oakland Military Institute, College Preparatory Academy",759,21,2.77%,0,4,6,7,0,4,2017-18
Aspire Monarch Academy,436,12,2.75%,1,7,0,0,2,2,2017-18
EnCompass Academy Elementary,359,9,2.51%,0,6,1,0,0,2,2017-18
Redwood Heights Elementary,372,9,2.42%,9,0,0,0,0,0,2017-18
La Escuelita Elementary,458,11,2.40%,0,9,0,2,0,0,2017-18
New Highland Academy,377,9,2.39%,8,0,0,0,0,1,2017-18
Oakland School for the Arts,767,18,2.35%,1,1,0,14,0,2,2017-18
Oakland Technical High,"2,074",48,2.31%,4,25,0,11,2,6,2017-18
Madison Park Academy TK-5,322,7,2.17%,2,5,0,0,0,0,2017-18
International Community,326,7,2.15%,0,6,1,0,0,0,2017-18
Markham Elementary,385,8,2.08%,7,1,0,0,0,0,2017-18
Franklin Elementary,772,16,2.07%,0,12,0,0,0,4,2017-18
Kaiser Elementary,295,6,2.03%,3,2,0,0,1,0,2017-18
Bella Vista Elementary,498,9,1.81%,6,3,0,0,0,0,2017-18
Fruitvale Elementary,399,7,1.75%,3,4,0,0,0,0,2017-18
Bridges Academy,468,7,1.50%,6,1,0,0,0,0,2017-18
Chabot Elementary,574,8,1.39%,0,8,0,0,0,0,2017-18
Dewey Academy,382,5,1.31%,2,2,0,0,0,1,2017-18
Rudsdale Continuation,359,4,1.11%,3,1,0,0,0,0,2017-18
Ralph J. Bunche High,183,2,1.09%,0,1,0,1,0,0,2017-18
Burckhalter Elementary,310,3,0.97%,1,2,0,0,0,0,2017-18
Greenleaf Elementary,668,6,0.90%,0,4,0,1,0,1,2017-18
Peralta Elementary,336,3,0.89%,1,2,0,0,0,0,2017-18
Global Family,484,4,0.83%,1,3,0,0,0,0,2017-18
East Oakland Pride Elementary,383,3,0.78%,0,3,0,0,0,0,2017-18
Carl B. Munck Elementary,263,2,0.76%,2,0,0,0,0,0,2017-18
Allendale Elementary,396,3,0.76%,1,1,0,0,1,0,2017-18
Learning Without Limits,445,3,0.67%,0,2,0,0,1,0,2017-18
ACORN Woodland Elementary,307,2,0.65%,1,1,0,0,0,0,2017-18
Lincoln Elementary,768,4,0.52%,2,2,0,0,0,0,2017-18
East Bay Innovation Academy,514,2,0.39%,2,0,0,0,0,0,2017-18
"Independent Study, Sojourner Truth",281,1,0.36%,0,1,0,0,0,0,2017-18
Lighthouse Community Charter High,286,1,0.35%,0,0,0,1,0,0,2017-18
Piedmont Avenue Elementary,376,1,0.27%,1,0,0,0,0,0,2017-18
Hillcrest Elementary,391,1,0.26%,0,1,0,0,0,0,2017-18
Cleveland Elementary,417,1,0.24%,1,0,0,0,0,0,2017-18
Joaquin Miller Elementary,457,1,0.22%,1,0,0,0,0,0,2017-18
Melrose Leadership Academy,537,1,0.19%,0,1,0,0,0,0,2017-18
Montclair Elementary,654,1,0.15%,1,0,0,0,0,0,2017-18
Bay Area Technology,0,0,0.00%,0,0,0,0,0,0,2017-18
Civicorps Corpsmember Academy,0,0,0.00%,0,0,0,0,0,0,2017-18
Conservatory of Vocal/Instrumental Arts High,82,0,0.00%,0,0,0,0,0,0,2017-18
Crocker Highlands Elementary,476,0,0.00%,0,0,0,0,0,0,2017-18
East Oakland Leadership Academy,121,0,0.00%,0,0,0,0,0,0,2017-18
Esperanza Elementary,373,0,0.00%,0,0,0,0,0,0,2017-18
Francophone Charter School of Oakland,198,0,0.00%,0,0,0,0,0,0,2017-18
Gateway to College at Laney College,130,0,0.00%,0,0,0,0,0,0,2017-18
Home and Hospital Program,9,0,0.00%,0,0,0,0,0,0,2017-18
Howard Elementary,248,0,0.00%,0,0,0,0,0,0,2017-18
"Nonpublic, Nonsectarian Schools",176,0,0.00%,0,0,0,0,0,0,2017-18
Street Academy (Alternative),140,0,0.00%,0,0,0,0,0,0,2017-18
Thornhill Elementary,403,0,0.00%,0,0,0,0,0,0,2017-18
Young Adult Program,166,0,0.00%,0,0,0,0,0,0,2017-18
